time,line_id,equipment_id,cycle_time,throughput,efficiency_score,energy_consumption,downtime_duration,defect_rate
2025-06-29 21:46:37,Line 1,MOTOR_001,89.8,10.6,38.7,8.76,0,6.17
2025-06-29 21:46:37,Line 1,MOTOR_002,94.6,14.3,43.0,9.16,0,5.71
2025-06-29 21:46:37,Line 1,PUMP_001,97.6,12.4,43.4,8.79,0,5.16
2025-06-29 21:46:37,Line 1,CONV_001,100.9,12.5,36.1,9.58,0,5.71
2025-06-29 21:46:37,Line 1,ROBOT_001,78.3,10.4,36.1,8.81,0,6.18
2025-06-29 21:46:37,Line 2,PUMP_002,84.4,16.0,53.2,8.89,0,5.06
2025-06-29 21:46:37,Line 2,CONV_002,107.4,18.5,53.2,9.35,0,4.16
2025-06-29 21:46:37,Line 2,ROBOT_002,108.6,14.0,50.6,8.43,0,5.29
2025-06-29 22:01:37,Line 1,MOTOR_001,77.6,23.3,30.0,9.8,0,7.21
2025-06-29 22:01:37,Line 1,MOTOR_002,81.4,22.9,33.3,9.94,0,6.05
2025-06-29 22:01:37,Line 1,PUMP_001,84.4,25.2,31.0,8.36,0,6.85
2025-06-29 22:01:37,Line 1,CONV_001,74.1,24.9,35.9,9.2,2.3,7.32
2025-06-29 22:01:37,Line 1,ROBOT_001,90.3,19.6,35.8,8.58,0,7.09
2025-06-29 22:01:37,Line 2,PUMP_002,106.0,21.3,45.9,9.1,2.4,4.73
2025-06-29 22:01:37,Line 2,CONV_002,102.3,16.6,47.8,8.06,0.4,4.59
2025-06-29 22:01:37,Line 2,ROBOT_002,93.1,22.7,46.3,8.66,0,6.23
2025-06-29 22:16:37,Line 1,MOTOR_001,108.4,16.8,37.2,7.91,0,5.6
2025-06-29 22:16:37,Line 1,MOTOR_002,72.2,17.0,36.4,9.79,0,5.97
2025-06-29 22:16:37,Line 1,PUMP_001,71.4,15.0,40.7,8.21,0,6.81
2025-06-29 22:16:37,Line 1,CONV_001,92.2,15.0,36.8,8.92,0,5.52
2025-06-29 22:16:37,Line 1,ROBOT_001,81.8,12.4,39.5,8.99,0,5.67
2025-06-29 22:16:37,Line 2,PUMP_002,106.6,20.8,39.3,9.42,0,5.37
2025-06-29 22:16:37,Line 2,CONV_002,105.9,22.6,46.1,8.66,0.3,6.14
2025-06-29 22:16:37,Line 2,ROBOT_002,70.7,19.2,41.3,9.36,0,5.51
2025-06-29 22:31:37,Line 1,MOTOR_001,101.8,27.4,31.6,9.53,0,7.19
2025-06-29 22:31:37,Line 1,MOTOR_002,88.0,22.0,33.1,9.44,0,6.0
2025-06-29 22:31:37,Line 1,PUMP_001,98.6,24.9,32.9,9.18,0,6.83
2025-06-29 22:31:37,Line 1,CONV_001,95.4,19.3,29.4,8.16,0,6.3
2025-06-29 22:31:37,Line 1,ROBOT_001,104.9,23.0,30.8,8.99,0,7.45
2025-06-29 22:31:37,Line 2,PUMP_002,84.7,20.2,52.2,8.1,0,4.38
2025-06-29 22:31:37,Line 2,CONV_002,103.0,20.3,45.8,7.61,0,5.86
