time,equipment_id,sensor_type,value,unit,status
2025-06-29 21:46:37,MOTOR_001,temperature,49.6,celsius,normal
2025-06-29 21:46:37,MOTOR_001,vibration,4.53,hz,normal
2025-06-29 21:46:37,MOTOR_002,temperature,50.7,celsius,normal
2025-06-29 21:46:37,MOTOR_002,vibration,0,hz,normal
2025-06-29 21:46:37,PUMP_001,temperature,46.2,celsius,normal
2025-06-29 21:46:37,PUMP_001,vibration,7.59,hz,normal
2025-06-29 21:46:37,PUMP_001,pressure,51.3,bar,normal
2025-06-29 21:46:37,PUMP_002,temperature,50.4,celsius,normal
2025-06-29 21:46:37,PUMP_002,vibration,0,hz,normal
2025-06-29 21:46:37,PUMP_002,pressure,55.5,bar,normal
2025-06-29 21:46:37,CONV_001,temperature,36.2,celsius,normal
2025-06-29 21:46:37,CONV_001,vibration,0.57,hz,normal
2025-06-29 21:46:37,CONV_002,temperature,29.7,celsius,normal
2025-06-29 21:46:37,CONV_002,vibration,0.92,hz,normal
2025-06-29 21:46:37,ROBOT_001,temperature,46.4,celsius,normal
2025-06-29 21:46:37,ROBOT_001,vibration,2.1,hz,normal
2025-06-29 21:46:37,ROBOT_002,temperature,52.8,celsius,normal
2025-06-29 21:46:37,ROBOT_002,vibration,1.68,hz,normal
2025-06-29 21:46:37,COMP_001,temperature,74.5,celsius,normal
2025-06-29 21:46:37,COMP_001,vibration,1.09,hz,normal
2025-06-29 21:46:37,COMP_001,pressure,1.8,bar,normal
2025-06-29 21:46:37,HVAC_001,temperature,18.0,celsius,normal
2025-06-29 21:46:37,HVAC_001,vibration,1.57,hz,normal
2025-06-29 21:51:37,MOTOR_001,temperature,65.1,celsius,normal
2025-06-29 21:51:37,MOTOR_001,vibration,5.83,hz,normal
2025-06-29 21:51:37,MOTOR_002,temperature,54.6,celsius,normal
2025-06-29 21:51:37,MOTOR_002,vibration,3.55,hz,normal
2025-06-29 21:51:37,PUMP_001,temperature,56.8,celsius,normal
2025-06-29 21:51:37,PUMP_001,vibration,6.55,hz,normal
2025-06-29 21:51:37,PUMP_001,pressure,57.7,bar,normal
2025-06-29 21:51:37,PUMP_002,temperature,52.2,celsius,normal
2025-06-29 21:51:37,PUMP_002,vibration,6.38,hz,normal
2025-06-29 21:51:37,PUMP_002,pressure,55.0,bar,normal
2025-06-29 21:51:37,CONV_001,temperature,33.4,celsius,normal
2025-06-29 21:51:37,CONV_001,vibration,0,hz,normal
2025-06-29 21:51:37,CONV_002,temperature,44.3,celsius,normal
2025-06-29 21:51:37,CONV_002,vibration,3.29,hz,normal
2025-06-29 21:51:37,ROBOT_001,temperature,39.5,celsius,normal
2025-06-29 21:51:37,ROBOT_001,vibration,0.64,hz,normal
2025-06-29 21:51:37,ROBOT_002,temperature,41.6,celsius,normal
2025-06-29 21:51:37,ROBOT_002,vibration,1.94,hz,normal
2025-06-29 21:51:37,COMP_001,temperature,72.3,celsius,normal
2025-06-29 21:51:37,COMP_001,vibration,9.41,hz,normal
2025-06-29 21:51:37,COMP_001,pressure,1.8,bar,normal
2025-06-29 21:51:37,HVAC_001,temperature,20.4,celsius,normal
2025-06-29 21:51:37,HVAC_001,vibration,0,hz,normal
2025-06-29 21:56:37,MOTOR_001,temperature,64.9,celsius,normal
2025-06-29 21:56:37,MOTOR_001,vibration,0,hz,normal
2025-06-29 21:56:37,MOTOR_002,temperature,66.6,celsius,normal
2025-06-29 21:56:37,MOTOR_002,vibration,3.07,hz,normal
2025-06-29 21:56:37,PUMP_001,temperature,48.0,celsius,normal
2025-06-29 21:56:37,PUMP_001,vibration,6.04,hz,normal
2025-06-29 21:56:37,PUMP_001,pressure,65.6,bar,normal
2025-06-29 21:56:37,PUMP_002,temperature,43.6,celsius,normal
2025-06-29 21:56:37,PUMP_002,vibration,5.92,hz,normal
2025-06-29 21:56:37,PUMP_002,pressure,62.5,bar,normal
2025-06-29 21:56:37,CONV_001,temperature,43.4,celsius,normal
2025-06-29 21:56:37,CONV_001,vibration,2.22,hz,normal
2025-06-29 21:56:37,CONV_002,temperature,39.0,celsius,normal
2025-06-29 21:56:37,CONV_002,vibration,0,hz,normal
2025-06-29 21:56:37,ROBOT_001,temperature,42.5,celsius,normal
2025-06-29 21:56:37,ROBOT_001,vibration,0,hz,normal
2025-06-29 21:56:37,ROBOT_002,temperature,48.7,celsius,normal
2025-06-29 21:56:37,ROBOT_002,vibration,1.37,hz,normal
2025-06-29 21:56:37,COMP_001,temperature,71.1,celsius,normal
2025-06-29 21:56:37,COMP_001,vibration,0,hz,normal
2025-06-29 21:56:37,COMP_001,pressure,2.3,bar,normal
2025-06-29 21:56:37,HVAC_001,temperature,17.1,celsius,normal
2025-06-29 21:56:37,HVAC_001,vibration,0.52,hz,normal
2025-06-29 22:01:37,MOTOR_001,temperature,55.1,celsius,normal
2025-06-29 22:01:37,MOTOR_001,vibration,0,hz,normal
2025-06-29 22:01:37,MOTOR_002,temperature,61.9,celsius,normal
2025-06-29 22:01:37,MOTOR_002,vibration,2.9,hz,normal
2025-06-29 22:01:37,PUMP_001,temperature,58.3,celsius,normal
2025-06-29 22:01:37,PUMP_001,vibration,0,hz,normal
2025-06-29 22:01:37,PUMP_001,pressure,65.4,bar,normal
2025-06-29 22:01:37,PUMP_002,temperature,44.6,celsius,normal
2025-06-29 22:01:37,PUMP_002,vibration,3.28,hz,normal
2025-06-29 22:01:37,PUMP_002,pressure,72.2,bar,normal
2025-06-29 22:01:37,CONV_001,temperature,44.4,celsius,normal
2025-06-29 22:01:37,CONV_001,vibration,0,hz,normal
2025-06-29 22:01:37,CONV_002,temperature,42.1,celsius,normal
2025-06-29 22:01:37,CONV_002,vibration,0,hz,normal
2025-06-29 22:01:37,ROBOT_001,temperature,42.2,celsius,normal
2025-06-29 22:01:37,ROBOT_001,vibration,0.87,hz,normal
2025-06-29 22:01:37,ROBOT_002,temperature,45.2,celsius,normal
2025-06-29 22:01:37,ROBOT_002,vibration,1.56,hz,normal
2025-06-29 22:01:37,COMP_001,temperature,69.7,celsius,normal
2025-06-29 22:01:37,COMP_001,vibration,4.05,hz,normal
2025-06-29 22:01:37,COMP_001,pressure,2.0,bar,normal
2025-06-29 22:01:37,HVAC_001,temperature,18.4,celsius,normal
2025-06-29 22:01:37,HVAC_001,vibration,0.12,hz,normal
2025-06-29 22:06:37,MOTOR_001,temperature,52.5,celsius,normal
2025-06-29 22:06:37,MOTOR_001,vibration,3.23,hz,normal
2025-06-29 22:06:37,MOTOR_002,temperature,62.0,celsius,normal
2025-06-29 22:06:37,MOTOR_002,vibration,1.8,hz,normal
2025-06-29 22:06:37,PUMP_001,temperature,53.9,celsius,normal
2025-06-29 22:06:37,PUMP_001,vibration,0,hz,normal
2025-06-29 22:06:37,PUMP_001,pressure,57.7,bar,normal
2025-06-29 22:06:37,PUMP_002,temperature,49.7,celsius,normal
2025-06-29 22:06:37,PUMP_002,vibration,3.56,hz,normal
2025-06-29 22:06:37,PUMP_002,pressure,52.2,bar,normal
2025-06-29 22:06:37,CONV_001,temperature,30.7,celsius,normal
2025-06-29 22:06:37,CONV_001,vibration,2.42,hz,normal
2025-06-29 22:06:37,CONV_002,temperature,37.6,celsius,normal
2025-06-29 22:06:37,CONV_002,vibration,0,hz,normal
2025-06-29 22:06:37,ROBOT_001,temperature,41.8,celsius,normal
2025-06-29 22:06:37,ROBOT_001,vibration,2.2,hz,normal
2025-06-29 22:06:37,ROBOT_002,temperature,43.7,celsius,normal
2025-06-29 22:06:37,ROBOT_002,vibration,0.28,hz,normal
2025-06-29 22:06:37,COMP_001,temperature,77.4,celsius,normal
2025-06-29 22:06:37,COMP_001,vibration,0.6,hz,normal
2025-06-29 22:06:37,COMP_001,pressure,2.3,bar,normal
2025-06-29 22:06:37,HVAC_001,temperature,20.5,celsius,normal
2025-06-29 22:06:37,HVAC_001,vibration,0.5,hz,normal
2025-06-29 22:11:37,MOTOR_001,temperature,66.6,celsius,normal
2025-06-29 22:11:37,MOTOR_001,vibration,2.39,hz,normal
2025-06-29 22:11:37,MOTOR_002,temperature,52.6,celsius,normal
2025-06-29 22:11:37,MOTOR_002,vibration,0,hz,normal
2025-06-29 22:11:37,PUMP_001,temperature,58.3,celsius,normal
2025-06-29 22:11:37,PUMP_001,vibration,0,hz,normal
2025-06-29 22:11:37,PUMP_001,pressure,66.2,bar,normal
2025-06-29 22:11:37,PUMP_002,temperature,57.9,celsius,normal
2025-06-29 22:11:37,PUMP_002,vibration,7.91,hz,normal
2025-06-29 22:11:37,PUMP_002,pressure,74.7,bar,normal
2025-06-29 22:11:37,CONV_001,temperature,30.2,celsius,normal
2025-06-29 22:11:37,CONV_001,vibration,0.05,hz,normal
2025-06-29 22:11:37,CONV_002,temperature,32.6,celsius,normal
2025-06-29 22:11:37,CONV_002,vibration,0.57,hz,normal
2025-06-29 22:11:37,ROBOT_001,temperature,43.9,celsius,normal
2025-06-29 22:11:37,ROBOT_001,vibration,0.14,hz,normal
2025-06-29 22:11:37,ROBOT_002,temperature,44.6,celsius,normal
2025-06-29 22:11:37,ROBOT_002,vibration,0,hz,normal
2025-06-29 22:11:37,COMP_001,temperature,77.4,celsius,normal
2025-06-29 22:11:37,COMP_001,vibration,7.76,hz,normal
2025-06-29 22:11:37,COMP_001,pressure,1.8,bar,normal
2025-06-29 22:11:37,HVAC_001,temperature,20.9,celsius,normal
2025-06-29 22:11:37,HVAC_001,vibration,1.33,hz,normal
2025-06-29 22:16:37,MOTOR_001,temperature,61.8,celsius,normal
2025-06-29 22:16:37,MOTOR_001,vibration,2.11,hz,normal
2025-06-29 22:16:37,MOTOR_002,temperature,58.7,celsius,normal
2025-06-29 22:16:37,MOTOR_002,vibration,0,hz,normal
