time,equipment_id,temperature,vibration,status
2025-07-06 14:17:51,MOTOR_001,51.9,0.1,normal
2025-07-06 14:17:51,MOTOR_002,45.5,1.89,normal
2025-07-06 14:17:51,PUMP_001,57.9,4.91,normal
2025-07-06 14:17:51,PUMP_002,53.6,0.1,normal
2025-07-06 14:17:51,CONV_001,31.7,0.1,normal
2025-07-06 14:17:51,ROBOT_001,45.8,2.85,normal
2025-07-06 14:19:51,MOTOR_001,60.0,3.33,normal
2025-07-06 14:19:51,MOTOR_002,53.7,1.17,normal
2025-07-06 14:19:51,PUMP_001,52.7,2.45,normal
2025-07-06 14:19:51,PUMP_002,55.4,0.1,normal
2025-07-06 14:19:51,CONV_001,42.3,1.0,normal
2025-07-06 14:19:51,ROBOT_001,52.9,0.1,normal
2025-07-06 14:21:51,MOTOR_001,52.7,5.15,normal
2025-07-06 14:21:51,MOTOR_002,62.7,0.1,normal
2025-07-06 14:21:51,PUMP_001,47.4,10.32,normal
2025-07-06 14:21:51,PUMP_002,48.5,0.1,normal
2025-07-06 14:21:51,CONV_001,39.6,1.69,normal
2025-07-06 14:21:51,ROBOT_001,39.4,0.1,normal
2025-07-06 14:23:51,MOTOR_001,66.3,3.73,normal
2025-07-06 14:23:51,MOTOR_002,64.7,7.4,normal
2025-07-06 14:23:51,PUMP_001,65.2,8.59,warning
2025-07-06 14:23:51,PUMP_002,50.4,6.92,normal
2025-07-06 14:23:51,CONV_001,46.2,1.68,normal
2025-07-06 14:23:51,ROBOT_001,42.2,0.1,normal
2025-07-06 14:25:51,MOTOR_001,65.0,3.3,normal
2025-07-06 14:25:51,MOTOR_002,50.6,7.73,normal
2025-07-06 14:25:51,PUMP_001,56.9,9.92,normal
2025-07-06 14:25:51,PUMP_002,53.0,2.31,normal
2025-07-06 14:25:51,CONV_001,38.2,0.1,normal
2025-07-06 14:25:51,ROBOT_001,36.9,0.1,normal
2025-07-06 14:27:51,MOTOR_001,75.5,4.11,critical
2025-07-06 14:27:51,MOTOR_002,65.1,5.2,normal
2025-07-06 14:27:51,PUMP_001,52.9,1.4,normal
2025-07-06 14:27:51,PUMP_002,54.2,8.55,normal
2025-07-06 14:27:51,CONV_001,52.5,1.24,normal
2025-07-06 14:27:51,ROBOT_001,41.1,1.36,normal
2025-07-06 14:29:51,MOTOR_001,48.6,2.7,normal
2025-07-06 14:29:51,MOTOR_002,52.8,5.25,normal
2025-07-06 14:29:51,PUMP_001,47.8,1.17,normal
2025-07-06 14:29:51,PUMP_002,53.3,0.1,normal
2025-07-06 14:29:51,CONV_001,59.3,3.18,warning
2025-07-06 14:29:51,ROBOT_001,45.8,0.68,normal
2025-07-06 14:31:51,MOTOR_001,59.6,4.29,normal
2025-07-06 14:31:51,MOTOR_002,61.8,0.1,normal
2025-07-06 14:31:51,PUMP_001,64.7,4.86,warning
2025-07-06 14:31:51,PUMP_002,51.3,4.45,normal
2025-07-06 14:31:51,CONV_001,41.3,4.32,normal
2025-07-06 14:31:51,ROBOT_001,46.8,0.1,normal
2025-07-06 14:33:51,MOTOR_001,64.7,1.42,normal
2025-07-06 14:33:51,MOTOR_002,57.8,0.1,normal
2025-07-06 14:33:51,PUMP_001,58.2,6.85,normal
2025-07-06 14:33:51,PUMP_002,53.7,3.23,normal
2025-07-06 14:33:51,CONV_001,43.2,3.82,normal
2025-07-06 14:33:51,ROBOT_001,55.0,1.24,normal
2025-07-06 14:35:51,MOTOR_001,57.7,0.48,normal
2025-07-06 14:35:51,MOTOR_002,59.2,0.73,normal
2025-07-06 14:35:51,PUMP_001,50.8,0.82,normal
2025-07-06 14:35:51,PUMP_002,44.0,1.04,normal
2025-07-06 14:35:51,CONV_001,38.5,1.73,normal
2025-07-06 14:35:51,ROBOT_001,40.6,1.68,normal
2025-07-06 14:37:51,MOTOR_001,57.2,0.1,normal
2025-07-06 14:37:51,MOTOR_002,50.3,4.25,normal
2025-07-06 14:37:51,PUMP_001,52.6,9.24,normal
2025-07-06 14:37:51,PUMP_002,38.8,0.57,normal
2025-07-06 14:37:51,CONV_001,35.0,4.65,normal
2025-07-06 14:37:51,ROBOT_001,57.0,2.77,normal
2025-07-06 14:39:51,MOTOR_001,50.6,5.26,normal
2025-07-06 14:39:51,MOTOR_002,54.7,7.08,normal
2025-07-06 14:39:51,PUMP_001,46.1,5.24,normal
2025-07-06 14:39:51,PUMP_002,55.3,3.31,normal
2025-07-06 14:39:51,CONV_001,37.7,1.32,normal
2025-07-06 14:39:51,ROBOT_001,44.2,2.83,normal
2025-07-06 14:41:51,MOTOR_001,63.3,4.78,normal
2025-07-06 14:41:51,MOTOR_002,52.0,0.77,normal
2025-07-06 14:41:51,PUMP_001,53.6,7.12,normal
2025-07-06 14:41:51,PUMP_002,53.1,0.5,normal
2025-07-06 14:41:51,CONV_001,40.7,4.27,normal
2025-07-06 14:41:51,ROBOT_001,40.4,2.5,normal
2025-07-06 14:43:51,MOTOR_001,59.2,2.92,normal
2025-07-06 14:43:51,MOTOR_002,62.1,8.17,normal
2025-07-06 14:43:51,PUMP_001,51.8,3.79,normal
2025-07-06 14:43:51,PUMP_002,46.9,2.92,normal
2025-07-06 14:43:51,CONV_001,45.2,4.21,normal
2025-07-06 14:43:51,ROBOT_001,45.4,1.34,normal
2025-07-06 14:45:51,MOTOR_001,46.9,0.1,normal
2025-07-06 14:45:51,MOTOR_002,58.1,0.1,normal
2025-07-06 14:45:51,PUMP_001,55.6,5.53,normal
2025-07-06 14:45:51,PUMP_002,59.2,8.06,normal
2025-07-06 14:45:51,CONV_001,48.8,1.52,normal
2025-07-06 14:45:51,ROBOT_001,46.2,0.1,normal
2025-07-06 14:47:51,MOTOR_001,53.1,2.89,normal
2025-07-06 14:47:51,MOTOR_002,63.9,1.45,normal
2025-07-06 14:47:51,PUMP_001,41.4,7.54,normal
2025-07-06 14:47:51,PUMP_002,53.4,10.06,normal
2025-07-06 14:47:51,CONV_001,38.0,0.1,normal
2025-07-06 14:47:51,ROBOT_001,50.9,0.15,normal
2025-07-06 14:49:51,MOTOR_001,62.7,0.1,normal
2025-07-06 14:49:51,MOTOR_002,56.4,1.1,normal
2025-07-06 14:49:51,PUMP_001,43.4,2.53,normal
2025-07-06 14:49:51,PUMP_002,52.8,3.85,normal
2025-07-06 14:49:51,CONV_001,51.5,2.66,normal
2025-07-06 14:49:51,ROBOT_001,33.9,2.09,normal
2025-07-06 14:51:51,MOTOR_001,55.4,3.8,normal
2025-07-06 14:51:51,MOTOR_002,48.3,0.41,normal
2025-07-06 14:51:51,PUMP_001,36.3,1.05,normal
